frame,meters
0,0.23
1830,0.54
3660,0.91
5490,1.08
7320,1.76
9150,1.81
10980,1.86
12810,2.01
14640,2.34
16470,2.92
18300,2.92
20130,3.39
21960,4.02
23790,4.46
25620,4.86
27450,5.24
29280,5.71
31110,6.45
32940,6.97
34770,7.46
36600,7.46
38430,8.25
40260,8.62
42090,9.35
43920,9.35
