frame,meters
0,0.00
1200,0.18
2400,1.32
3600,1.79
4800,2.19
6000,2.69
7200,3.77
8400,4.29
9600,5.21
10800,5.89
12000,6.86
13200,8.11
14400,9.22
15600,10.42
16800,10.83
18000,11.80
19200,13.36
20400,13.78
21600,14.25
22800,15.47
24000,16.77
25200,17.88
26400,18.12
27600,18.16
28800,18.41
